pl_name,default_flag,pl_masse,ra,dec,glon,glat,st_teff,sy_dist,sy_disterr1,sy_disterr2
K2-27 b,1,30.9,171.5151874,1.2306237,261.02749,56.98688,5248.0,249.645,2.489,-2.441
HD 27631 b,1,,64.9392168,-41.9606604,246.32433,-45.36507,5737.0,50.2862,0.0823,-0.0821
HR 5183 b,1,,206.7357992,6.3498994,337.84348,65.38752,5794.0,31.4607,0.039,-0.0389
HD 188641 b,1,9333.03117,299.4048303,-37.7448845,2.67804,-28.65534,,64.3399,0.1793,-0.1784
HD 106515 A b,1,3025.09078,183.7762699,-7.2575413,287.28411,54.50662,,34.0915,0.0856,-0.0851
HD 11112 b,1,2598.56506,27.0881399,-41.4944106,267.48348,-71.49206,,44.3804,0.0549,-0.0548
HD 111232 b,1,2531.50326,192.2159553,-68.4246679,302.69417,-5.55411,,28.9571,0.0362,-0.0361
HD 125271 b,1,3465.60095,216.6474037,-81.4542756,306.57222,-19.26305,,39.3466,0.0672,-0.067
HD 136118 b,1,4164.18779,229.7306046,-1.5922913,359.94098,44.34952,,51.4359,0.1984,-0.1969
HD 145934 b,1,658.54046,243.2912249,13.2394527,26.92843,41.01691,,227.881,2.3975,-2.3975
HD 168863 b,1,2154.8766,275.6642157,-18.0219726,13.67168,-2.00978,,39.8979,0.0924,-0.0919
HD 194490 b,1,3561.90296,306.9980087,-51.6644646,347.1134,-35.69138,,80.2349,0.2496,-0.248
HD 219077 b,1,3057.50928,348.5319387,-62.7018297,320.40161,-50.99819,,29.1864,0.0372,-0.0372
HD 224538 b,1,2075.73733,359.7164302,-61.5868613,313.65223,-54.43363,,79.0608,0.1854,-0.1846
HD 29985 b,1,1739.47487,70.5216589,-33.9210696,235.69993,-40.50413,,31.2707,0.0217,-0.0217
HD 30177 b,1,2670.7121,70.4770964,-58.0208085,267.36972,-39.73385,,55.5867,0.127,-0.1264
HD 457 b,1,8445.33643,2.2492922,-39.7372401,335.19521,-74.61855,,55.0375,0.1324,-0.1317
HD 62549 b,1,2707.5802,116.0821439,-5.0541223,223.57898,9.35843,,49.3305,0.1192,-0.1186
HD 72659 c,1,5977.08102,128.5128072,-1.5686323,226.75388,21.88046,,51.8949,0.1451,-0.1442
HD 80883 b,1,1748.05624,139.9331831,-59.4780815,278.8418,-6.91046,,34.6011,0.0576,-0.0574
HD 86264 b,1,3117.26102,149.2409308,-15.8953993,253.16,29.65549,,67.8107,0.2753,-0.2731
HD 8673 b,1,4210.59074,21.5378455,34.5793389,131.00143,-27.7479,,37.8619,0.0543,-0.0541
HD 97037 b,1,6707.76853,167.5545621,-7.3901483,263.92264,47.66804,,32.413,0.0575,-0.0572
14 Her b,1,2559.47216,242.6021014,43.8163621,69.16849,46.94447,,17.9323,0.0073,-0.0073
bet Pic b,1,3727.80939,86.8212337,-51.066148,258.36341,-30.61167,,19.7442,0.132,-0.1303
TOI-4127 b,1,731.00534,105.4045516,72.4149297,142.64659,26.52673,6096.0,319.632,3.351,-3.283
HD 1397 b,1,131.89945,4.4471631,-66.3589285,308.21517,-50.42274,5521.0,79.5702,0.1738,-0.1731
K2-344 b,1,,136.3614923,21.6685886,205.9637,38.67456,4374.0,75.1691,0.30675,-0.30675
Kepler-1745 b,1,,293.4689924,42.8223582,75.6866,10.93874,5611.0,996.105,25.8745,-25.8745
Kepler-1899 b,1,,292.0333777,37.9744551,70.79118,9.7134,4791.0,711.509,18.482,-18.482
Kepler-305 c,1,6.0,299.2242557,40.343167,75.59975,5.97338,,868.477,26.64,-25.126
Kepler-1917 b,1,,294.1038932,45.0013533,77.87755,11.52096,5530.0,909.037,25.025,-25.025
Kepler-352 c,1,,299.8966237,46.0519022,80.79764,8.47197,5212.0,252.733,1.399,-1.383
Kepler-1761 b,1,,284.1329728,49.1426325,79.03781,19.38653,3871.0,221.186,1.133,-1.133
Qatar-5 b,1,1373.0256,7.0539375,42.0613451,118.33015,-20.60282,5747.0,367.658,8.089,-7.755
HATS-17 b,1,425.25654,192.1895676,-47.6136789,302.46383,15.25563,5846.0,400.331,10.228,-9.74
